Official tag,Category,Birth weight (kg),25/10/2016,24/11/2016,08/12/2016,22/12/2016,05/01/2017,07/02/2017,07/03/2017,12/04/2017,19/04/2017,07/06/2017,06/07/2017,01/08/2017,29/08/2017,03/10/2017,03/11/2017,09/11/2017,24/11/2017,12/12/2017,05/01/2018,10/01/2018,16/01/2018,17/01/2018,06/02/2018,13/02/2018,14/02/2018,28/02/2018,14/03/2018,21/03/2018,04/04/2018,19/04/2018,24/04/2018,22/05/2018,12/06/2018,19/06/2018,17/07/2018,07/08/2018,09/08/2018,21/08/2018,29/08/2018,10/09/2018,11/09/2018,12/09/2018,19/09/2018,09/10/2018,25/10/2018,31/10/2018,06/11/2018,09/11/2018,14/11/2018,20/11/2018,04/12/2018,05/12/2018,12/12/2018,08/01/2019,15/01/2019,14/02/2019,12/03/2019,02/04/2019,11/04/2019,30/04/2019,01/05/2019,02/05/2019,10/05/2019,13/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,14/08/2019,07/09/2019,30/09/2019,01/10/2019,22/10/2019,04/11/2019,02/12/2019,17/12/2019,10/01/2020,15/01/2020
UK 362735 201699,Cattle,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,NA,375,NA,NA,402,NA,NA,407,NA,NA,446,NA,NA,NA,464,475,NA,510,558,562,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201706,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,NA,329,NA,NA,372,NA,NA,411,NA,NA,447,NA,NA,NA,463,472,NA,538,582,620,NA,NA,NA,640,NA,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201727,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,NA,380,NA,NA,383,NA,NA,392,NA,NA,424,NA,NA,NA,435,465,NA,499,564,572,NA,NA,NA,NA,576,NA,NA,604,NA,NA,NA,596,660,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201762,Cattle,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,324,NA,NA,NA,362,NA,NA,NA,399,407,438,443,420,NA,NA,NA,437,NA,464,NA,528,548,NA,576,578,NA,NA,602,652,658,NA,NA
UK 362735 201783,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,350,NA,NA,NA,371,NA,NA,NA,406,429,449,475,NA,NA,NA,NA,467,NA,NA,506,534,564,572,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201797,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,335,NA,NA,NA,357,NA,NA,NA,403,437,458,492,NA,NA,NA,491,479,NA,499,NA,548,562,NA,574,NA,582,NA,NA,NA,NA,NA,NA
UK 362735 201804,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,334,NA,NA,NA,324,NA,NA,NA,367,403,446,455,NA,NA,NA,NA,475,NA,NA,520,574,606,NA,630,NA,636,NA,NA,NA,NA,NA,NA
UK 362735 201818,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,378,NA,NA,NA,400,NA,NA,NA,449,486,504,546,NA,NA,NA,512,514,NA,544,NA,588,610,NA,622,620,NA,644,NA,NA,NA,NA,NA
UK 362735 201825,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,289,NA,NA,NA,306,NA,NA,NA,366,396,419,455,NA,NA,NA,458,447,NA,482,NA,546,574,NA,598,606,NA,626,NA,NA,NA,NA,NA
UK 362735 201832,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,351,NA,NA,NA,375,NA,NA,NA,415,435,472,480,NA,NA,NA,NA,506,NA,NA,542,586,574,NA,606,NA,610,NA,NA,NA,NA,NA,NA
