Official tag,Category,Birth weight (kg),25/10/2016,24/11/2016,08/12/2016,22/12/2016,05/01/2017,07/02/2017,07/03/2017,12/04/2017,19/04/2017,07/06/2017,06/07/2017,01/08/2017,29/08/2017,03/10/2017,03/11/2017,09/11/2017,24/11/2017,12/12/2017,05/01/2018,10/01/2018,16/01/2018,17/01/2018,06/02/2018,13/02/2018,14/02/2018,28/02/2018,14/03/2018,21/03/2018,04/04/2018,19/04/2018,24/04/2018,22/05/2018,12/06/2018,19/06/2018,17/07/2018,07/08/2018,09/08/2018,21/08/2018,29/08/2018,10/09/2018,11/09/2018,12/09/2018,19/09/2018,09/10/2018,25/10/2018,31/10/2018,06/11/2018,09/11/2018,14/11/2018,20/11/2018,04/12/2018,05/12/2018,12/12/2018,08/01/2019,15/01/2019,14/02/2019,12/03/2019,02/04/2019,11/04/2019,30/04/2019,01/05/2019,02/05/2019,10/05/2019,13/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,14/08/2019,07/09/2019,30/09/2019,01/10/2019,22/10/2019,04/11/2019,02/12/2019,17/12/2019,10/01/2020,15/01/2020
UK 362735 601668,Cattle,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,NA,457,NA,NA,457,NA,NA,477,NA,NA,508,NA,NA,NA,530,522,NA,552,602,620,NA,NA,NA,NA,628,NA,NA,680,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601675,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,NA,381,NA,NA,421,NA,NA,463,NA,NA,480,NA,NA,NA,487,494,NA,536,578,588,NA,NA,NA,606,NA,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601682,Cattle,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,NA,462,NA,NA,489,NA,NA,520,NA,NA,546,NA,NA,NA,538,534,NA,604,650,662,NA,NA,NA,670,NA,NA,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601689,Cattle,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,354,NA,NA,370,NA,NA,405,NA,NA,444,NA,NA,NA,476,469,NA,504,540,554,NA,NA,NA,NA,568,NA,NA,588,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601703,Cattle,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,NA,374,NA,NA,390,NA,NA,419,NA,NA,440,NA,NA,NA,486,489,NA,522,576,582,NA,586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601710,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,372,NA,NA,406,NA,NA,429,NA,NA,443,NA,NA,NA,447,460,NA,504,536,540,NA,NA,NA,578,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601717,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,311,NA,NA,346,NA,NA,390,NA,NA,424,NA,NA,NA,439,457,NA,526,576,592,NA,NA,NA,630,NA,NA,NA,668,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601731,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,305,NA,NA,319,NA,NA,335,NA,NA,354,NA,NA,NA,378,399,NA,432,471,474,NA,NA,NA,NA,496,NA,NA,542,NA,NA,NA,540,566,NA,592,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601745,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,266,NA,NA,272,NA,NA,305,NA,NA,323,NA,NA,NA,363,369,NA,413,462,462,NA,NA,NA,NA,496,NA,NA,528,NA,NA,NA,538,574,NA,604,NA,NA,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601773,Cattle,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,289,NA,NA,NA,306,NA,NA,NA,338,365,377,400,NA,NA,384,NA,404,NA,421,NA,486,518,NA,546,538,NA,NA,556,588,NA,608,618
UK 362735 601780,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,346,NA,NA,NA,375,NA,NA,NA,431,441,463,486,NA,NA,NA,NA,462,NA,NA,499,536,568,558,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601801,Cattle,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,271,NA,NA,NA,290,NA,NA,NA,332,351,368,389,NA,392,NA,NA,391,NA,425,NA,474,494,NA,510,510,NA,NA,544,576,NA,626,620
UK 362735 601808,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,371,NA,NA,NA,404,NA,NA,NA,443,467,514,526,NA,502,NA,NA,502,NA,530,NA,592,618,NA,638,NA,636,NA,NA,NA,NA,NA,NA
UK 362735 601815,Cattle,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,316,NA,NA,NA,352,NA,NA,NA,384,426,442,462,NA,NA,NA,NA,462,NA,NA,499,546,570,560,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 601822,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,396,NA,NA,NA,433,NA,NA,NA,457,502,536,564,NA,NA,NA,538,532,NA,560,NA,612,632,NA,644,636,NA,632,NA,NA,NA,NA,NA
UK 362735 601878,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,226,NA,NA,NA,237,NA,NA,NA,281,295,321,345,NA,NA,336,NA,347,NA,377,NA,437,462,NA,490,491,NA,NA,524,566,NA,592,596
UK 362735 601885,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,266,NA,NA,NA,300,NA,NA,NA,348,377,413,434,NA,NA,NA,NA,446,NA,NA,473,526,556,NA,574,582,NA,NA,596,646,646,NA,NA
UK 362735 601892,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,278,NA,NA,NA,306,NA,NA,NA,345,363,389,414,NA,419,NA,NA,421,NA,449,NA,508,546,NA,566,576,NA,NA,600,632,NA,682,690
UK 362735 701599,Cattle,45,273,276,282,286,303,332,352,362,NA,438,462,487,504,524,548,NA,546,578,594,NA,NA,NA,628,NA,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701613,Cattle,56,308,326,334,344,347,352,364,376,NA,464,481,520,532,560,584,NA,608,624,658,NA,NA,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701620,Cattle,46,159,183,189,191,205,229,249,269,NA,343,358,392,405,441,445,NA,470,496,516,NA,NA,NA,546,NA,NA,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701627,Cattle,49,213,228,235,244,251,287,303,316,NA,388,413,445,461,483,504,NA,506,534,548,NA,NA,NA,574,NA,NA,606,NA,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701634,Cattle,51,NA,NA,NA,NA,NA,NA,NA,NA,372,423,448,479,498,522,548,NA,544,544,580,NA,NA,NA,596,NA,NA,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701655,Cattle,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,343,NA,NA,366,NA,NA,381,NA,NA,399,NA,NA,NA,407,416,NA,464,491,510,NA,NA,NA,522,NA,NA,NA,538,NA,NA,NA,532,564,NA,576,NA,NA,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701662,Cattle,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,346,NA,NA,358,NA,NA,384,NA,NA,416,NA,NA,NA,415,446,NA,489,526,540,NA,NA,NA,560,NA,NA,NA,588,NA,NA,NA,580,624,NA,666,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701669,Cattle,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,379,NA,NA,392,NA,NA,427,NA,NA,448,NA,NA,NA,478,481,NA,492,536,528,NA,NA,NA,NA,558,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701690,Cattle,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,315,NA,NA,342,NA,NA,368,NA,NA,392,NA,NA,NA,426,430,NA,454,491,496,NA,NA,NA,NA,516,NA,NA,540,NA,NA,NA,536,556,NA,598,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701697,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,447,NA,NA,464,NA,NA,495,NA,NA,532,NA,NA,NA,572,560,NA,586,622,616,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701704,Cattle,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,315,NA,NA,351,NA,NA,388,NA,NA,427,NA,NA,NA,429,431,NA,479,506,522,NA,NA,NA,558,NA,NA,NA,582,NA,NA,NA,588,616,NA,642,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701711,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,403,NA,NA,415,NA,NA,446,NA,NA,460,NA,NA,NA,465,462,NA,504,548,560,NA,NA,NA,568,NA,NA,NA,604,NA,NA,NA,590,624,NA,670,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701725,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,347,NA,NA,367,NA,NA,395,NA,NA,433,NA,NA,NA,471,472,NA,504,548,548,NA,NA,NA,NA,564,NA,NA,598,NA,NA,NA,580,624,NA,660,NA,682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701732,Cattle,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,NA,310,NA,NA,330,NA,NA,351,NA,NA,378,NA,NA,NA,382,404,NA,462,508,518,NA,NA,NA,548,NA,NA,NA,582,NA,NA,NA,594,620,NA,654,NA,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701753,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,374,NA,NA,NA,398,NA,NA,NA,452,481,514,524,NA,NA,NA,NA,530,NA,NA,562,620,648,NA,660,NA,670,NA,NA,NA,NA,NA,NA
UK 362735 701760,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,381,NA,NA,NA,414,NA,NA,NA,472,512,540,557,NA,NA,524,NA,532,NA,570,NA,620,602,NA,622,628,NA,NA,642,672,NA,762,782
UK 362735 701767,Cattle,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,342,NA,NA,NA,368,NA,NA,NA,403,410,432,464,NA,NA,NA,470,455,NA,473,NA,512,536,NA,544,544,NA,556,NA,NA,NA,NA,NA
UK 362735 701781,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,414,NA,NA,NA,433,NA,NA,NA,490,520,542,582,NA,560,NA,NA,548,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701795,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,318,NA,NA,NA,343,NA,NA,NA,385,422,438,460,NA,461,NA,NA,457,NA,479,NA,510,528,NA,534,530,NA,540,NA,NA,NA,NA,NA
UK 362735 701816,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,330,NA,NA,NA,362,NA,NA,NA,409,436,459,485,NA,NA,NA,500,485,NA,514,NA,570,578,588,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701830,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,238,NA,NA,NA,262,NA,NA,NA,297,332,355,379,NA,NA,NA,NA,394,NA,NA,428,484,508,NA,530,524,NA,NA,544,606,594,NA,NA
UK 362735 701858,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,235,NA,NA,NA,253,NA,NA,NA,305,347,374,407,NA,NA,NA,NA,411,NA,NA,467,522,542,NA,556,570,NA,NA,586,630,NA,646,652
UK 362735 701872,Cattle,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,265,NA,NA,NA,298,NA,NA,NA,339,390,404,438,NA,NA,430,NA,439,NA,489,NA,558,564,NA,598,628,NA,648,NA,NA,NA,NA,NA
UK 362735 701886,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,263,NA,NA,NA,282,NA,NA,NA,324,361,396,420,NA,NA,NA,NA,444,NA,NA,480,526,562,NA,568,572,NA,NA,588,642,636,NA,NA
