Name,Field,Field Name,Farmlet,Method,Feed_Category,Sampling_Date,%dry_matter,%crude_protein,%WSC,%lipids,%NDF,%ADF,%MADF,%ADL,ME_MJ_per_kg_DM,%Ash,%Acetate,%Propionate,%Butyrate,%Lactate,%Ammonia_from_total_N,Additional Analysis
Blue 22/02/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,22/02/2016 00:00:00,,13.23,0.33,,55.48,30.88,33.14,3.99,10.36,8.83,,,,,,
Green 29/02/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,29/02/2016 00:00:00,,13.07,0.41,,55.6,31.84,34.15,3.82,10.22,8.97,,,,,,
Red 29/02/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,29/02/2016 00:00:00,,9.91,3.57,,53.62,33.52,35.51,5.34,10.03,9.18,,,,,,
Blue 29/02/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,29/02/2016 00:00:00,,12.82,0.44,,49.1,31.16,32.42,3.83,10.46,8.96,,,,,,
Green 07/03/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,07/03/2016 00:00:00,,11.91,1.57,,56.09,32.55,33.84,4.11,10.26,8.96,,,,,,
Red 07/03/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,07/03/2016 00:00:00,,10.17,3.6,,54.79,33.01,34.74,5.21,10.14,8.18,,,,,,
Blue 07/03/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,07/03/2016 00:00:00,,12.74,1.34,,51.2,31.81,33.6,4.87,10.3,9.93,,,,,,
Green 14/03/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,14/03/2016 00:00:00,,11.87,1.16,,50.8,32.64,34.39,3.7,10.19,9.5,,,,,,
Red 14/03/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,14/03/2016 00:00:00,,8.61,3.56,,53.87,33.02,34.07,3.56,10.23,7.87,,,,,,
Blue 14/03/2016 Clamp Pasture silage,Blue Cattle Shed,Blue Cattle Shed,Blue,Clamp,Silage,14/03/2016 00:00:00,,13.07,1.37,,46.01,29.92,30.85,3.82,10.68,7.49,,,,,,
Green 21/03/2016 Clamp Pasture silage,Green Cattle Shed,Green Cattle Shed,Green,Clamp,Silage,21/03/2016 00:00:00,,13.44,0.51,,51.78,32.81,34.3,4.1,10.2,8.88,,,,,,
Red 21/03/2016 Clamp Pasture silage,Red Cattle Shed,Red Cattle Shed,Red,Clamp,Silage,21/03/2016 00:00:00,,8.88,3.4,,52.82,32.72,34,3.53,10.24,7.33,,,,,,
Red 16/05/2016 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,16/05/2016 00:00:00,18.4,16.97,14.51,,46.35,26.1,27.05,2.85,11.2,8.85,,,,,,
